09-Febrero-2018 => Estacion: Carapungo;0.3;13.48
10-Febrero-2018 => Estacion: Carapungo;0.29;14.51
11-Febrero-2018 => Estacion: Carapungo;0.3;17.55
12-Febrero-2018 => Estacion: Carapungo;0.33;23.74
13-Febrero-2018 => Estacion: Carapungo;0.33;23.12
14-Febrero-2018 => Estacion: Carapungo;0.35;24.05
15-Febrero-2018 => Estacion: Carapungo;0.31;18.59
16-Febrero-2018 => Estacion: Carapungo;0.43;16.42
17-Febrero-2018 => Estacion: Carapungo;0.41;18.45
18-Febrero-2018 => Estacion: Carapungo;0.31;15.36
19-Febrero-2018 => Estacion: Carapungo;0.35;13.56
20-Febrero-2018 => Estacion: Carapungo;0.4;14.67
21-Febrero-2018 => Estacion: Carapungo;0.4;14.35
22-Febrero-2018 => Estacion: Carapungo;0.36;12.15
23-Febrero-2018 => Estacion: Carapungo;0.31;9.39
24-Febrero-2018 => Estacion: Carapungo;0.34;8.41
25-Febrero-2018 => Estacion: Carapungo;0.33;11.29
26-Febrero-2018 => Estacion: Carapungo;0.4;13.41
27-Febrero-2018 => Estacion: Carapungo;0.39;14.3
28-Febrero-2018 => Estacion: Carapungo;0.42;14.36
01-Febrero-2018 => Estacion: Belisario;0.69;21.14
02-Febrero-2018 => Estacion: Belisario;0.67;20.39
03-Febrero-2018 => Estacion: Belisario;0.54;19.73
04-Febrero-2018 => Estacion: Belisario;0.37;18.1
05-Febrero-2018 => Estacion: Belisario;0.45;13
06-Febrero-2018 => Estacion: Belisario;0.56;14.49
07-Febrero-2018 => Estacion: Belisario;0.54;18.71
08-Febrero-2018 => Estacion: Belisario;0.47;16.03
09-Febrero-2018 => Estacion: Belisario;0.58;16.64
10-Febrero-2018 => Estacion: Belisario;0.37;18.44
11-Febrero-2018 => Estacion: Belisario;0.3;20.07
12-Febrero-2018 => Estacion: Belisario;0.29;25.48
13-Febrero-2018 => Estacion: Belisario;0.33;23.14
14-Febrero-2018 => Estacion: Belisario;0.52;23.64
15-Febrero-2018 => Estacion: Belisario;0.47;19.68
16-Febrero-2018 => Estacion: Belisario;0.56;20.02
17-Febrero-2018 => Estacion: Belisario;0.41;21.83
18-Febrero-2018 => Estacion: Belisario;0.28;18.42
19-Febrero-2018 => Estacion: Belisario;0.53;15.62
20-Febrero-2018 => Estacion: Belisario;0.63;14.82
21-Febrero-2018 => Estacion: Belisario;0.63;14.77
22-Febrero-2018 => Estacion: Belisario;0.51;15.4
23-Febrero-2018 => Estacion: Belisario;0.52;12.45
24-Febrero-2018 => Estacion: Belisario;0.55;12.71
25-Febrero-2018 => Estacion: Belisario;0.37;11.6
26-Febrero-2018 => Estacion: Belisario;0.59;14.14
27-Febrero-2018 => Estacion: Belisario;0.59;16.56
28-Febrero-2018 => Estacion: Belisario;0.66;15.6
01-Febrero-2018 => Estacion: El Camal;0.9;24.32
02-Febrero-2018 => Estacion: El Camal;0.61;22.28
03-Febrero-2018 => Estacion: El Camal;0.56;24.4
04-Febrero-2018 => Estacion: El Camal;0.39;20.88
05-Febrero-2018 => Estacion: El Camal;0.35;16.67
06-Febrero-2018 => Estacion: El Camal;0.48;16.27
07-Febrero-2018 => Estacion: El Camal;0.34;17.68
08-Febrero-2018 => Estacion: El Camal;0.43;17.15
09-Febrero-2018 => Estacion: El Camal;0.74;24.78
10-Febrero-2018 => Estacion: El Camal;0.56;23.55
11-Febrero-2018 => Estacion: El Camal;0.45;21.05
12-Febrero-2018 => Estacion: El Camal;0.46;23.62
13-Febrero-2018 => Estacion: El Camal;0.75;26.7
14-Febrero-2018 => Estacion: El Camal;0.73;25.22
15-Febrero-2018 => Estacion: El Camal;0.83;20.66
16-Febrero-2018 => Estacion: El Camal;0.83;22.87
17-Febrero-2018 => Estacion: El Camal;0.84;26.25
18-Febrero-2018 => Estacion: El Camal;0.72;21.25
19-Febrero-2018 => Estacion: El Camal;0.77;17.83
20-Febrero-2018 => Estacion: El Camal;0.78;18.23
